request_id,api_name,TIMESTAMP,latency_ms,status_Code,document_type,region,device_type,error_reason
00008b77-eb10-4040-9ed9-957c596a442c,OCR_AADHAAR,"2026-01-20 20:02:42",1658,400,DRIVING_LICENSE,Metro,Android,NETWORK_ERROR
00012d85-fe23-40a3-be4b-ef0117dbfded,OCR_AADHAAR,"2026-01-07 05:41:42",1331,200,PAN,Metro,Android,
00020c3b-e544-4ecb-b25d-1b20d1a7dfb3,FACE_MATCH,"2026-01-10 02:17:42",369,200,AADHAAR,Metro,iOS,
000281cb-a37f-4fb2-989e-8471c92b2a01,OCR_PAN,"2025-12-31 11:06:42",1260,200,DRIVING_LICENSE,Tier-1,Android,
000281fd-cbb4-427a-bb0e-e827f04ee101,KYC_VERIFY,"2026-01-02 18:53:42",584,200,DRIVING_LICENSE,Tier-2,Android,
0003d29a-fabd-4fca-9658-3c244bbede41,FACE_MATCH,"2026-01-12 23:13:42",1275,200,DRIVING_LICENSE,Tier-2,iOS,
0006f0c1-5c7e-44cb-b530-eab7c634dad2,OCR_PAN,"2026-01-09 03:29:42",1241,200,PAN,Metro,iOS,
00072547-e7ae-4f9b-98f4-aca1eb9e8426,KYC_VERIFY,"2026-01-03 23:49:42",1341,400,PAN,Tier-1,Android,TIMEOUT
0008d494-82a6-4b60-a4f4-0a270b0c4f2a,KYC_VERIFY,"2026-01-04 14:17:42",899,200,PAN,Tier-1,iOS,
000971dc-e19b-4230-a46c-24464e626de6,FACE_MATCH,"2026-01-27 01:41:42",1160,200,PASSPORT,Tier-1,Android,
000ad88c-fc29-4a11-a861-6c0a13b032fe,KYC_VERIFY,"2026-01-06 12:15:42",527,200,PASSPORT,Metro,Android,
000b23ba-5e92-48de-a1e4-f5e3a05081be,OCR_AADHAAR,"2026-01-07 02:32:42",1556,200,AADHAAR,Tier-1,Web,
000bb2cd-23a4-4ec8-8eef-a8de145bd384,FACE_MATCH,"2026-01-19 14:45:42",972,200,AADHAAR,Tier-1,Android,
000db185-17ba-485f-9b68-03e247a40578,FACE_MATCH,"2026-01-05 13:34:42",1527,400,PASSPORT,Metro,Android,NETWORK_ERROR
000e82ca-a2f2-4b0c-a347-b364bed7cd9e,KYC_VERIFY,"2026-01-04 18:57:42",1259,422,PASSPORT,Metro,Web,BLURRY_IMAGE
00108f82-de9b-49b9-8b1a-5d780ce460d8,FACE_MATCH,"2026-01-24 09:58:42",1276,200,PAN,Tier-1,Android,
001131f6-8737-4dac-bd53-6c79bc188799,KYC_VERIFY,"2026-01-19 22:42:42",725,401,DRIVING_LICENSE,Tier-1,Web,LOW_IMAGE_QUALITY
0012628b-ce7e-40d5-9137-408e9b8dbd8b,FACE_MATCH,"2026-01-22 07:32:42",956,200,PAN,Tier-1,Android,
0012fb48-9ead-42b4-9fd8-319adaa43f87,OCR_AADHAAR,"2026-01-20 00:14:42",1214,200,PASSPORT,Rural,Android,
001393a0-5263-4a59-8021-0e142d8b0946,OCR_PAN,"2026-01-15 08:28:42",1922,422,PASSPORT,Tier-2,Android,DOCUMENT_EXPIRED
0013afcc-bbec-4665-b2cf-15f5eaa33806,FACE_MATCH,"2026-01-09 10:10:42",788,200,AADHAAR,Tier-1,iOS,
001452d5-31f2-4ca7-a3c6-6a985f920748,OCR_AADHAAR,"2026-01-01 08:03:42",1280,200,AADHAAR,Metro,Android,
001667b8-cb74-44fc-a90b-9a0c6a51730c,OCR_PAN,"2026-01-14 13:45:42",1181,200,DRIVING_LICENSE,Tier-1,Android,
0016821c-99c1-4ad9-9c99-b42bce6603fc,OCR_PAN,"2026-01-22 03:18:42",1025,200,PASSPORT,Tier-2,iOS,
0017945f-f400-4d89-b295-f8686feb2667,KYC_VERIFY,"2026-01-27 14:17:42",200,200,PASSPORT,Metro,Android,
00179707-55bd-4080-9051-9d91c255d0f7,OCR_AADHAAR,"2026-01-14 03:54:42",1228,200,DRIVING_LICENSE,Metro,iOS,
00180141-8dc6-483f-8508-05a1a3d2026a,KYC_VERIFY,"2026-01-06 09:00:42",687,200,PASSPORT,Tier-1,Android,
00182364-5bc4-48d0-b5b0-8b667b224f05,FACE_MATCH,"2026-01-01 10:04:42",976,200,AADHAAR,Metro,Web,
001913ae-7302-4f1c-9f47-a01d287a0f74,FACE_MATCH,"2026-01-07 12:41:42",703,200,DRIVING_LICENSE,Tier-1,Web,
0019479c-3939-4b4f-bc50-ebeb24445512,KYC_VERIFY,"2026-01-12 18:56:42",663,200,AADHAAR,Tier-1,Android,
001a59fa-7bef-4526-b819-c6a94bbb433c,FACE_MATCH,"2026-01-24 03:21:42",1494,400,DRIVING_LICENSE,Tier-1,Android,NETWORK_ERROR
001b32a9-55bc-4d24-b7e2-22f147fcc3bf,OCR_PAN,"2026-01-23 23:33:42",830,200,PASSPORT,Tier-2,Android,
001c2008-c9f7-44b4-af09-5fd7531bb6e4,OCR_PAN,"2026-01-07 13:23:42",1145,200,PASSPORT,Tier-1,Android,
001cbd79-ee80-4d27-a7dc-3a75025ae337,FACE_MATCH,"2026-01-03 05:27:42",1848,400,AADHAAR,Metro,Web,FACE_MISMATCH
